Name,Source Title,DOI,Authors,Year,URL,Type,Source,Note
Dynamic Monitoring Dashboards Through Composition of Web and Visualization Services,Internet of Things. IoT Infrastructures,10.1007/978-3-319-47075-7_50,Sofie Van HoeckeCynric HuysOlivier JanssensRuben VerborghRik Van de Walle,2016,http://link.springer.com/chapter/10.1007/978-3-319-47075-7_50,Conference Paper,SpringerLink,EC3
Drill-Down Dashboard for Chairing of Online Master Programs in Engineering,"Technology and Innovation in Learning, Teaching and Education",10.1007/978-3-030-73988-1_15,Anabela Costa e SilvaLeonel MorgadoAntónio Coelho,2021,http://link.springer.com/chapter/10.1007/978-3-030-73988-1_15,Conference Paper,SpringerLink,EC3
Recommending Insightful Drill-Downs Based on Learning Processes for Learning Analytics Dashboards,Artificial Intelligence in Education,10.1007/978-3-030-52237-7_39,Shiva ShabaninejadHassan KhosraviSander J. J. LeemansShazia SadiqMarta Indulska,2020,http://link.springer.com/chapter/10.1007/978-3-030-52237-7_39,Conference Paper,SpringerLink,EC3
From Data to City Indicators: A Knowledge Graph for Supporting Automatic Generation of Dashboards,The Semantic Web,10.1007/978-3-319-58451-5_7,Henrique SantosVictor DantasVasco FurtadoPaulo PinheiroDeborah L. McGuinness,2017,http://link.springer.com/chapter/10.1007/978-3-319-58451-5_7,Conference Paper,SpringerLink,EC3
Decision-Making Support in Engineering Design Based on Collaborative Dashboards: Integration of Business Intelligence Techniques,"Research into Design for Communities, Volume 1",10.1007/978-981-10-3518-0_88,Ahmed FradiMatthieu BricogneMagali Bosch-MauchandBorhen LouhichiBenoît Eynard,2017,http://link.springer.com/chapter/10.1007/978-981-10-3518-0_88,Conference Paper,SpringerLink,EC3
Virtual Lab Dashboard: Ubiquitous Monitoring and Control in a Smart Bio-laboratory,Computational Science and Its Applications – ICCSA 2005,10.1007/11424826_124,XiaoMing BaoSee-Kiong NgEng-Huat ChuaWei-Khing For,2005,http://link.springer.com/chapter/10.1007/11424826_124,Conference Paper,SpringerLink,EC3
Git4School: A Dashboard for Supporting Teacher Interventions in Software Engineering Courses,Addressing Global Challenges and Quality Education,10.1007/978-3-030-57717-9_33,Jean-Baptiste RacletFranck Silvestre,2020,http://link.springer.com/chapter/10.1007/978-3-030-57717-9_33,Conference Paper,SpringerLink,EC3
Pixel-Based Analysis of Information Dashboard Attributes,New Trends in Databases and Information Systems,10.1007/978-3-319-44066-8_3,Jiří HynekTomáš Hruška,2016,http://link.springer.com/chapter/10.1007/978-3-319-44066-8_3,Conference Paper,SpringerLink,EC3
AttentionBoard: A Quantified-Self Dashboard for Enhancing Attention Management with Eye-Tracking,Information Systems and Neuroscience,10.1007/978-3-030-60073-0_31,Moritz LangnerPeyman ToreiniAlexander Maedche,2020,http://link.springer.com/chapter/10.1007/978-3-030-60073-0_31,Conference Paper,SpringerLink,EC3
Designing a Real-Time Integrated First Responder Health and Environmental Monitoring Dashboard,Designing for Digital Transformation. Co-Creating Services with Citizens and Industry,10.1007/978-3-030-64823-7_3,Ann FruhlingMargeret HallSharon MedcalfAaron Yoder,2020,http://link.springer.com/chapter/10.1007/978-3-030-64823-7_3,Conference Paper,SpringerLink,EC3
Balanced Scorecard Quality Information Dashboards Model for Competitive Business Advantage,"Advances in Intelligent Informatics, Smart Technology and Natural Language Processing",10.1007/978-3-319-94703-7_15,Wiwit SuksangaramKritchana WongratSopaporn Klamsakul,2019,http://link.springer.com/chapter/10.1007/978-3-319-94703-7_15,Conference Paper,SpringerLink,EC3
Designing a Dashboard Visualization Tool for Urban Planners to Assess the Completeness of Streets,Human Interface and the Management of Information. Designing Information,10.1007/978-3-030-50020-7_6,Greice C. MarianoVeda AdnaniIman KewalramaniBo WangMatthew J. RoordaJeremy BowesSara Diamond,2020,http://link.springer.com/chapter/10.1007/978-3-030-50020-7_6,Conference Paper,SpringerLink,EC3
Preliminary Analysis of the Behavioural Intention to Use a Risk Analysis Dashboard Through the Technology Acceptance Model,Product Lifecycle Management Enabling Smart X,10.1007/978-3-030-62807-9_39,Jean-Marc VasnierNicolas MaranzanaNorlaily YaacobMourad MessaadiaAmeziane Aoussat,2020,http://link.springer.com/chapter/10.1007/978-3-030-62807-9_39,Conference Paper,SpringerLink,EC3
A Zoomable Location-Based Dashboard for Construction Management,"Cooperative Design, Visualization, and Engineering",10.1007/978-3-642-32609-7_29,Annie GuerrieroDaniel ZignaleGilles Halin,2012,http://link.springer.com/chapter/10.1007/978-3-642-32609-7_29,Conference Paper,SpringerLink,EC3
User-Experience in Business Intelligence - A Quality Construct and Model to Design Supportive BI Dashboards,Research Challenges in Information Science,10.1007/978-3-030-50316-1_11,Corentin BurnaySarah BouragaStéphane FaulknerIvan Jureta,2020,http://link.springer.com/chapter/10.1007/978-3-030-50316-1_11,Conference Paper,SpringerLink,EC3
Metrics and Dashboard for Level 2 – Experience,"Systems, Software and Services Process Improvement",10.1007/978-3-030-56441-4_49,Bernhardt StegerDamjan EkertRichard MessnarzJakub StolfaSvatopluk StolfaZdenek Velart,2020,http://link.springer.com/chapter/10.1007/978-3-030-56441-4_49,Conference Paper,SpringerLink,EC3
Academic Dashboard—Descriptive Analytical Approach to Analyze Student Admission Using Education Data Mining,Information and Communication Technology for Sustainable Development,10.1007/978-981-10-3920-1_43,H. S. Sushma RaoAishwarya SureshVinayak Hegde,2018,http://link.springer.com/chapter/10.1007/978-981-10-3920-1_43,Conference Paper,SpringerLink,EC3
"InnoMetrics Dashboard: The Design, and Implementation of the Adaptable Dashboard for Energy-Efficient Applications Using Open Source Tools",Open Source Systems,10.1007/978-3-030-47240-5_16,Shokhista ErgashevaVladimir IvanovIlya KhomyakovArtem KruglovDragos StrugarGiancarlo Succi,2020,http://link.springer.com/chapter/10.1007/978-3-030-47240-5_16,Conference Paper,SpringerLink,EC3
Expectations from a Process Mining Dashboard in Operating Rooms with Analytic Hierarchy Process,Business Process Management Workshops,10.1007/978-3-030-11641-5_12,Antonio Martinez-MillanaAroa LizondoRoberto GattaVicente TraverCarlos Fernandez-Llatas,2019,http://link.springer.com/chapter/10.1007/978-3-030-11641-5_12,Conference Paper,SpringerLink,EC5
A Goal-Oriented Framework for Analyzing and Modeling City Dashboards in Smart Cities,Smart and Sustainable Planning for Cities and Regions,10.1007/978-3-319-75774-2_13,Katiuscia MannaroGavina BarallaChiara Garau,2018,http://link.springer.com/chapter/10.1007/978-3-319-75774-2_13,Conference Paper,SpringerLink,EC5
Towards User Interface Components for Dashboard Applications on Smartphones,"Mobile Computing, Applications, and Services",10.1007/978-3-319-05452-0_2,Marcus HomannVassilena BanovaPaul OelbermannHolger WittgesHelmut Krcmar,2014,http://link.springer.com/chapter/10.1007/978-3-319-05452-0_2,Conference Paper,SpringerLink,EC3
UbiSOA Dashboard: Integrating the Physical and Digital Domains through Mashups,Human Interface and the Management of Information. Designing Information Environments,10.1007/978-3-642-02556-3_53,Edgardo Avilés-LópezJ. Antonio García-Macías,2009,http://link.springer.com/chapter/10.1007/978-3-642-02556-3_53,Conference Paper,SpringerLink,EC3
Interactive Dashboard for Workflow Engine Benchmarks,Advances in Service-Oriented and Cloud Computing,10.1007/978-3-319-72125-5_14,David BimamisaMathias MüllerSimon HarrerGuido Wirtz,2018,http://link.springer.com/chapter/10.1007/978-3-319-72125-5_14,Conference Paper,SpringerLink,EC3
Academic Dashboard—Prediction of Institutional Student Dropout Numbers Using a Naïve Bayesian Algorithm,Computing and Network Sustainability,10.1007/978-981-10-3935-5_8,Aishwarya SureshH. S. Sushma RaoVinayak Hegde,2017,http://link.springer.com/chapter/10.1007/978-981-10-3935-5_8,Conference Paper,SpringerLink,EC5
Demo: Dynamic Generation of Adaptive Real-Time Dashboards for Continuous Data Stream Processing,Enabling Real-Time Business Intelligence,10.1007/978-3-662-46839-5_13,Timo MichelsenMarco GrawunderDennis GeesenH.-Jürgen Appelrath,2015,http://link.springer.com/chapter/10.1007/978-3-662-46839-5_13,Conference Paper,SpringerLink,EC3
Riding the Technology Wave: Effective Dashboard Data Visualization,Human Interface and the Management of Information. Interacting with Information,10.1007/978-3-642-21793-7_29,Lisa PappasLisa Whitman,2011,http://link.springer.com/chapter/10.1007/978-3-642-21793-7_29,Conference Paper,SpringerLink,EC3
Do Distracting Dashboards Matter? Evidence from an Eye Tracking Study,"Information Systems: Education, Applications, Research",10.1007/978-3-319-11373-9_6,Palash Bera,2014,http://link.springer.com/chapter/10.1007/978-3-319-11373-9_6,Conference Paper,SpringerLink,EC3
A Knowledge Dashboard for Manufacturing Industries,The Semantic Web: ESWC 2011 Workshops,10.1007/978-3-642-25953-1_10,Suvodeep MazumdarAndrea VargaVita LanfranchiDaniela PetrelliFabio Ciravegna,2012,http://link.springer.com/chapter/10.1007/978-3-642-25953-1_10,Conference Paper,SpringerLink,EC3
"Effects of a Dashboard for an Intelligent Tutoring System on Teacher Knowledge, Lesson Plans and Class Sessions",Artificial Intelligence in Education,10.1007/978-3-319-61425-0_69,Françeska XhakajVincent AlevenBruce M. McLaren,2017,http://link.springer.com/chapter/10.1007/978-3-319-61425-0_69,Conference Paper,SpringerLink,EC5
An Interactive Teacher’s Dashboard for Monitoring Groups in a Multi-tabletop Learning Environment,Intelligent Tutoring Systems,10.1007/978-3-642-30950-2_62,Roberto Martinez MaldonadoJudy KayKalina YacefBeat Schwendimann,2012,http://link.springer.com/chapter/10.1007/978-3-642-30950-2_62,Conference Paper,SpringerLink,EC5
Reproducible Academic Writing and Interactive Data Visualization Using R Markdown (R Programming Flex-Dashboard: Flex_Dashboard Packages),Rising Threats in Expert Applications and Solutions,10.1007/978-981-15-6014-9_73,Yagyanath Rimal,2021,http://link.springer.com/chapter/10.1007/978-981-15-6014-9_73,Conference Paper,SpringerLink,EC5
Semantic-Guided Communication and Composition in a Widget/Dashboard Environment,Current Trends in Web Engineering,10.1007/978-3-319-04244-2_3,Peter WehnerRobert Krüger,2013,http://link.springer.com/chapter/10.1007/978-3-319-04244-2_3,Conference Paper,SpringerLink,EC3
Development and Implementation of Dashboards for Operational Monitoring Using Participatory Design in a Lean Context,Computer Supported Qualitative Research,10.1007/978-3-319-61121-1_21,Andreia Filipa MartinsAnabela C. AlvesCelina P. Leão,2018,http://link.springer.com/chapter/10.1007/978-3-319-61121-1_21,Conference Paper,SpringerLink,EC5
Creating Effective Learning Analytics Dashboards: Lessons Learnt,Adaptive and Adaptable Learning,10.1007/978-3-319-45153-4_4,Sven CharleerJoris KlerkxErik DuvalTinne De LaetKatrien Verbert,2016,http://link.springer.com/chapter/10.1007/978-3-319-45153-4_4,Conference Paper,SpringerLink,EC3
Assessing User-Designed Dashboards: A Case for Developing Data Visualization Competency,Information and Communication Technologies for Development. Strengthening Southern-Driven Cooperation as a Catalyst for ICT4D,10.1007/978-3-030-18400-1_37,Aprisa ChrysantinaJohan Ivar Sæbø,2019,http://link.springer.com/chapter/10.1007/978-3-030-18400-1_37,Conference Paper,SpringerLink,EC3
On the Design of a Teachers’ Dashboard: Requirements and Insights,"Learning and Collaboration Technologies. Designing, Developing and Deploying Learning Experiences",10.1007/978-3-030-50513-4_19,Pedro IsaiasAdriana Backx Noronha Viana,2020,http://link.springer.com/chapter/10.1007/978-3-030-50513-4_19,Conference Paper,SpringerLink,EC5
Application of Dashboards and Scorecards for Learning Models IT Risk Management: A User Experience,"Design, User Experience, and Usability: Interactive Experience Design",10.1007/978-3-319-20889-3_15,Ernesto Celi,2015,http://link.springer.com/chapter/10.1007/978-3-319-20889-3_15,Conference Paper,SpringerLink,EC5
A Study on the Interface of Dashboard Camera Designed for the Elderly,Advances in Human Factors and Systems Interaction,10.1007/978-3-319-60366-7_28,Shu Yao ChangShuo-Fang LiuMing-Chyuan LinMing-Hong Wang,2018,http://link.springer.com/chapter/10.1007/978-3-319-60366-7_28,Conference Paper,SpringerLink,EC3
Generating Dashboards Using Fine-Grained Components: A Case Study for a PhD Programme,"Learning and Collaboration Technologies. Designing, Developing and Deploying Learning Experiences",10.1007/978-3-030-50513-4_23,Andrea Vázquez-IngelmoFrancisco J. García-PeñalvoRoberto Therón,2020,http://link.springer.com/chapter/10.1007/978-3-030-50513-4_23,Conference Paper,SpringerLink,EC5
The Design and Evaluation of Intelligent Energy Dashboard for Sustainability in the Workplace,"Design, User Experience, and Usability. User Experience Design for Everyday Life Applications and Services",10.1007/978-3-319-07635-5_58,Ray YunAzizan AzizBertrand LasternasChenlu ZhangVivian LoftnessPeter ScupelliYunjeong MoJie ZhaoNana Wilberforce,2014,http://link.springer.com/chapter/10.1007/978-3-319-07635-5_58,Conference Paper,SpringerLink,EC3
Constructing a Design Framework for Performance Dashboards,Nordic Contributions in IS Research,10.1007/978-3-642-32270-9_7,Heikki Lempinen,2012,http://link.springer.com/chapter/10.1007/978-3-642-32270-9_7,Conference Paper,SpringerLink,EC5
Managing Human (Social) Capital in Medium to Large Companies Using Organizational Network Analysis: Monoplex Network Approach with the Application of Highly Interactive Visual Dashboards,International Conference on Innovative Computing and Communications,10.1007/978-981-15-5148-2_81,Srečko ZajecLeo MrsicRobert Kopal,2021,http://link.springer.com/chapter/10.1007/978-981-15-5148-2_81,Conference Paper,SpringerLink,EC3
Proposal of a Bootcamp’s User Activity Dashboard Based on MAS,Agents and Multi-Agent Systems: Technologies and Applications 2018,10.1007/978-3-319-92031-3_22,Lenin G. Lemus-ZúñigaValeria Alexandra Haro ValleJosé-V. Benlloch-DualdeEdgar Lorenzo-SáezMiguel A. Mateo PlaJorge Maldonado-Mahauad,2019,http://link.springer.com/chapter/10.1007/978-3-319-92031-3_22,Conference Paper,SpringerLink,EC3
Tracking Students’ Eye-Movements on Visual Dashboard Presenting Their Online Learning Behavior Patterns,Emerging Issues in Smart Learning,10.1007/978-3-662-44188-6_51,Kunhee HaIl-Hyun JoSohye LimYeonjeong Park,2015,http://link.springer.com/chapter/10.1007/978-3-662-44188-6_51,Conference Paper,SpringerLink,EC3
The Design of an Identity and Access Management Assurance Dashboard Model,Research and Practical Issues of Enterprise Information Systems,10.1007/978-3-319-99040-8_10,Ferdinand DamonMarijke Coetzee,2018,http://link.springer.com/chapter/10.1007/978-3-319-99040-8_10,Conference Paper,SpringerLink,EC3
How to Help Teachers Adapt to Learners? Teachers’ Perspective on a Competency and Error-Type Centered Dashboard,Lifelong Technology-Enhanced Learning,10.1007/978-3-319-98572-5_53,Iryna NikolayevaBruno MartinAmel YessadFrançoise ChenevototJulia PiletDominique PrévitBrigitte Grugeon-AllysVanda Luengo,2018,http://link.springer.com/chapter/10.1007/978-3-319-98572-5_53,Conference Paper,SpringerLink,EC3
Development of Real Time Helmet based Authentication with Smart Dashboard for Two Wheelers,Intelligent Systems Technologies and Applications 2016,10.1007/978-3-319-47952-1_79,Ashish Kumar PardeshiHitesh PahujaBalwinder Singh,2016,http://link.springer.com/chapter/10.1007/978-3-319-47952-1_79,Conference Paper,SpringerLink,EC3
Create Dashboards and Data Story with the Data & Analytics Frameworks,Metadata and Semantic Research,10.1007/978-3-030-36599-8_24,Petito MicheleFrancesca FallucchiErnesto William De Luca,2019,http://link.springer.com/chapter/10.1007/978-3-030-36599-8_24,Conference Paper,SpringerLink,EC3
Interactive Design of Digital Car Dashboard Interfaces,"Digital Human Modeling. Applications in Health, Safety, Ergonomics, and Risk Management: Health and Safety",10.1007/978-3-319-58466-9_31,Rui LiQing-Xing QuZhangping Lu,2017,http://link.springer.com/chapter/10.1007/978-3-319-58466-9_31,Conference Paper,SpringerLink,EC3
A Dashboard for Security Forces Data Visualization and Storytelling,Information Systems for Industry 4.0,10.1007/978-3-030-14850-8_4,Miguel de Castro NetoMarcel NascimentoPedro SarmentoSara RibeiroTeresa RodriguesMarco Painho,2019,http://link.springer.com/chapter/10.1007/978-3-030-14850-8_4,Conference Paper,SpringerLink,EC3
